Report Number,Offense ID,Offense Start DateTime,Offense End DateTime,Report DateTime,Group A B,Crime Against Category,Offense Parent Group,Offense,Offense Code,Precinct,Sector,Beat,MCPP,100 Block Address,Longitude,Latitude
2022-009789,31124074512,1/12/2022 19:34,,1/12/2022 22:01,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,N,N,N3,NORTHGATE,98XX BLOCK OF AURORA AVE N,-122.3446457,47.70097732
2022-009853,31240436194,1/12/2022 21:13,,1/12/2022 21:32,B,SOCIETY,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,W,M,M1,DOWNTOWN COMMERCIAL,,0,0
2022-009810,31123181266,12/29/2020 19:30,,1/12/2022 21:05,A,PERSON,SEX OFFENSES,Fondling,11D,E,C,C3,MADRONA/LESCHI,,0,0
2022-009805,31123152731,1/12/2022 19:50,,1/12/2022 21:03,A,PROPERTY,ROBBERY,Robbery,120,SW,W,W3,MORGAN,35TH AVE SW / SW MORGAN ST,-122.376445,47.54468258
2022-009771,31123105199,9/30/2021 20:00,,1/12/2022 20:57,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,W,M,M1,DOWNTOWN COMMERCIAL,15XX BLOCK OF ALASKAN WAY,-122.3432712,47.60820692
2022-009709,31122812782,1/12/2022 17:34,,1/12/2022 20:33,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,N,N,N1,BITTERLAKE,134XX BLOCK OF GREENWOOD AVE N,-122.3555529,47.72595531
2022-008877,31121615287,1/11/2022 15:00,,1/12/2022 19:23,B,SOCIETY,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,W,Q,Q3,QUEEN ANNE,1XX BLOCK OF MERCER ST,-122.3547512,47.62457688
2022-008877,31207636993,1/11/2022 15:00,,1/12/2022 19:23,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,W,Q,Q3,QUEEN ANNE,1XX BLOCK OF MERCER ST,-122.3547512,47.62457688
2022-009625,31121016696,1/12/2022 0:00,,1/12/2022 18:34,B,SOCIETY,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,W,K,K3,CHINATOWN/INTERNATIONAL DISTRICT,S JACKSON ST / 12TH AVE S,-122.3172228,47.59918907
2022-009555,31121056907,1/12/2022 13:37,,1/12/2022 18:33,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,W,M,M3,DOWNTOWN COMMERCIAL,PIKE ST / 3RD AVE,-122.3377929,47.60974973
2022-009686,31120685255,1/12/2022 16:52,,1/12/2022 18:02,B,SOCIETY,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,W,K,K3,CHINATOWN/INTERNATIONAL DISTRICT,12XX BLOCK OF S JACKSON ST,-122.3156801,47.59919954
2022-009485,31120533559,1/12/2022 11:43,,1/12/2022 17:46,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,S,S,S3,RAINIER BEACH,90XX BLOCK OF RAINIER AVE S,-122.2699879,47.52281565
2022-009703,31120456951,1/12/2022 14:00,,1/12/2022 17:35,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,W,Q,Q3,SLU/CASCADE,6TH AVE N / MERCER ST,-122.344136,47.624442
2022-009683,31120272019,1/12/2022 16:43,,1/12/2022 17:14,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,N,L,L2,NORTHGATE,106XX BLOCK OF 8TH AVE NE,-122.3205325,47.70721264
2022-009514,31120267702,1/12/2022 12:23,,1/12/2022 17:13,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,W,Q,Q2,QUEEN ANNE,22XX BLOCK OF 15TH AVE W,-122.3761541,47.63965592
2022-009629,31120170689,1/12/2022 15:39,,1/12/2022 17:02,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,W,K,K2,PIONEER SQUARE,10XX BLOCK OF OCCIDENTAL AVE S,-122.3332687,47.5938359
2022-009567,31119962514,1/12/2022 14:03,,1/12/2022 16:41,B,SOCIETY,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,W,M,M3,DOWNTOWN COMMERCIAL,15XX BLOCK OF 2ND AVE,-122.3393581,47.60978174
2022-009624,31119902721,1/12/2022 1:17,,1/12/2022 16:32,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,N,U,U2,UNIVERSITY,47XX BLOCK OF 12TH AVE NE,-122.315251,47.664012
2022-009440,31118815882,1/12/2022 10:22,,1/12/2022 14:41,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,W,D,D3,SLU/CASCADE,11XX BLOCK OF MERCER ST,-122.335058,47.624618
2022-009440,31118885037,1/12/2022 10:22,,1/12/2022 14:41,B,SOCIETY,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,W,D,D3,SLU/CASCADE,11XX BLOCK OF MERCER ST,-122.335058,47.624618
